pin_id;mcu_id;mcu_reg;reg_bit;master_reg
1;1;2;7;
2;1;0;0;
3;1;1;5;
4;1;1;4;
5;1;1;3;
6;1;1;2;
7;1;1;1;
8;1;1;0;
9;1;3;7;
10;1;3;5;
11;1;1;6;
12;1;0;3;
13;1;3;4;
14;1;3;3;
15;0;2;7;
16;0;0;0;
17;1;0;2;
18;1;1;7;
19;1;3;6;
20;0;1;5;
21;0;1;4;
22;0;2;3;
23;0;2;2;
24;0;2;1;
25;0;2;0;
26;0;3;7;
27;0;3;6;
28;0;3;5;
29;0;1;7;
30;0;1;6;
31;0;0;3;
32;0;0;2;
33;0;3;4;
34;0;3;3;
35;0;3;2;
36;0;3;1;
37;0;3;0;
38;0;2;3;
39;0;2;2;
40;0;2;1;
41;0;2;0;
42;0;0;1;
43;1;3;2;
44;1;3;1;
45;1;3;0;
46;1;2;3;
47;1;2;2;
48;1;2;1;
49;1;2;0;
50;1;0;1;
51;2;0;2;
52;2;3;4;
53;2;3;3;
54;2;3;2;
55;2;3;1;
56;2;3;0;
57;2;2;3;
58;2;2;2;
59;3;3;2;
60;3;3;1;
61;3;3;0;
62;3;2;3;
63;3;2;2;
64;3;2;1;
65;3;2;0;
66;3;0;1;
67;3;2;7;
68;3;0;0;
69;3;1;5;
70;3;1;4;
71;3;1;3;
72;3;1;2;
73;3;1;1;
74;3;1;0;
75;3;3;7;
76;3;3;6;
77;3;3;5;
78;3;1;7;
79;3;1;6;
80;3;0;3;
81;3;0;2;
82;2;0;0;
83;2;0;1;
84;2;2;1;
85;3;3;4;
86;3;3;3;
87;2;2;0;
88;2;2;7;
89;2;1;5;
90;2;1;4;
91;2;1;3;
92;2;1;2;
93;2;1;1;
94;2;1;0;
95;2;3;7;
96;2;3;6;
97;2;3;5;
98;2;1;7;
99;2;1;6;
100;2;0;3;
